student_id,week,sleep_hours,study_hours,late_submissions,stress_level,social_activity_freq,emotional_state,exercise_hours,screen_time,burnout_label
STU-F23376DD,12,5.9,7.4,1,4,2,Feeling calm and focused,2.7,10.6,1
STU-706D9F27,1,6.8,8.1,0,4,3,"Average day, going through the motions",2.0,8.6,0
STU-706D9F27,2,7.2,8.6,0,4,2,Feeling numb and disconnected,2.0,8.4,0
STU-706D9F27,3,6.7,8.7,0,5,0,"Good energy, looking forward to classes",1.8,9.9,1
STU-706D9F27,4,6.7,6.7,1,5,2,Just getting by day to day,2.4,8.7,1
STU-706D9F27,5,7.2,7.6,1,5,1,Feeling confident about exams,1.3,8.1,1
STU-706D9F27,6,7.8,7.9,1,6,4,Feeling indifferent about things,1.9,9.7,1
STU-706D9F27,7,7.3,9.2,0,6,2,"Average day, going through the motions",1.6,8.9,1
STU-706D9F27,8,7.4,7.1,0,6,1,"Neither good nor bad, just normal",1.3,8.4,1
STU-706D9F27,9,6.4,9.8,1,5,2,"Doing alright, could be better",0.8,7.7,1
STU-706D9F27,10,7.9,8.7,1,6,0,Happy and well-rested,2.3,9.9,1
STU-706D9F27,11,7.4,6.7,1,6,2,"Doing alright, could be better",1.1,7.8,1
STU-706D9F27,12,7.6,5.8,1,6,1,"Feeling okay, nothing special",1.3,9.3,1
STU-25C594AA,1,6.6,4.5,2,3,3,"Feeling okay, nothing special",2.7,8.1,0
STU-25C594AA,2,6.6,5.1,1,3,2,Feeling hopeless about my grades,2.5,7.2,0
STU-25C594AA,3,6.5,4.1,1,2,2,"Doing alright, could be better",2.9,9.8,0
STU-25C594AA,4,5.6,2.7,1,4,3,Feeling anxious about everything,2.3,9.5,1
STU-25C594AA,5,5.3,5.0,2,4,0,Struggling to concentrate on anything,1.5,10.2,1
STU-25C594AA,6,5.6,4.0,2,5,2,"Routine day, nothing remarkable",1.4,8.6,1
STU-25C594AA,7,6.4,3.5,2,5,0,Feeling hopeless about my grades,1.2,10.0,1
STU-25C594AA,8,4.7,3.5,2,4,0,Too much pressure from all sides,2.0,8.6,1
STU-25C594AA,9,6.1,2.5,3,6,1,Constantly tired no matter how much I sleep,0.7,10.0,2
STU-25C594AA,10,5.8,3.6,4,7,0,"Can't sleep well, too much anxiety",1.1,10.0,2
STU-25C594AA,11,4.8,5.1,3,7,0,Feeling isolated and lonely,0.5,10.1,2
STU-25C594AA,12,4.0,4.6,4,7,0,"Can't sleep well, too much anxiety",1.1,10.8,2
STU-8030AFE0,1,4.2,10.9,1,8,0,Exhausted and burned out from studying,1.0,10.1,2
STU-8030AFE0,2,5.4,11.8,1,5,0,"Breaking down emotionally, can't handle it",2.1,10.1,1
STU-8030AFE0,3,4.3,10.8,1,7,0,Dreading going to class,1.7,9.9,2
STU-8030AFE0,4,5.9,9.6,0,5,1,Dreading going to class,2.1,8.9,1
STU-8030AFE0,5,5.0,10.4,1,6,1,Feeling isolated and lonely,2.8,9.2,1
STU-8030AFE0,6,5.3,8.7,0,7,3,"Breaking down emotionally, can't handle it",2.9,9.7,1
STU-8030AFE0,7,5.7,9.2,0,4,2,Things are manageable but not exciting,2.2,8.8,1
STU-8030AFE0,8,5.3,11.9,1,6,2,"Neither good nor bad, just normal",3.0,8.5,1
STU-8030AFE0,9,5.5,10.0,1,4,1,"Average day, going through the motions",3.9,7.9,1
STU-8030AFE0,10,6.6,9.5,0,4,2,Feeling great and motivated today,3.3,8.1,0
STU-8030AFE0,11,6.3,9.3,0,4,3,"Had a productive day, feeling accomplished",3.1,8.7,0
STU-8030AFE0,12,7.1,9.5,0,4,2,Excited about upcoming projects,3.0,8.5,0
STU-502681DA,1,7.9,7.6,3,5,3,Things are manageable but not exciting,2.2,7.6,1
STU-502681DA,2,6.8,6.3,2,5,4,Things are manageable but not exciting,2.7,8.2,1
STU-502681DA,3,6.4,6.1,2,5,3,"Routine day, nothing remarkable",2.7,9.2,1
STU-502681DA,4,7.2,5.9,2,5,2,"Feeling okay, nothing special",1.7,8.6,1
STU-502681DA,5,5.3,7.0,1,6,3,"Average day, going through the motions",2.6,7.8,1
STU-502681DA,6,7.3,6.6,1,5,3,Feeling indifferent about things,2.4,9.3,1
STU-502681DA,7,5.3,6.3,3,7,3,Just getting by day to day,,5.8,1
STU-502681DA,8,6.4,6.9,2,6,4,Happy and well-rested,2.0,7.3,1
STU-502681DA,9,7.1,5.8,1,5,3,Feeling great and motivated today,2.5,7.3,0
STU-502681DA,10,7.4,5.0,1,4,4,"Breaking down emotionally, can't handle it",1.9,6.9,0
STU-502681DA,11,7.5,4.9,1,5,3,"Neither good nor bad, just normal",2.5,8.7,0
STU-502681DA,12,6.5,6.5,2,5,3,"Average day, going through the motions",2.3,8.1,1
STU-24FA4356,1,7.1,5.2,0,1,5,"Good energy, looking forward to classes",5.1,3.1,0
STU-24FA4356,2,8.0,7.9,0,1,5,Enjoying the learning process,4.2,2.7,0
STU-24FA4356,3,7.8,5.1,0,1,5,Feeling balanced and in control,4.5,3.4,0
STU-24FA4356,4,7.6,5.3,0,1,4,Feeling calm and focused,5.0,3.6,0
STU-24FA4356,5,7.4,5.1,0,2,4,Excited about upcoming projects,5.1,5.0,0
STU-24FA4356,6,7.0,3.7,0,3,4,Feeling confident about exams,5.5,2.3,0
STU-24FA4356,7,,3.2,0,1,4,Excited about upcoming projects,5.0,3.4,0
STU-24FA4356,8,8.4,7.5,0,2,4,Enjoying the learning process,,3.8,0
STU-24FA4356,9,6.6,5.9,0,3,5,Enjoying the learning process,5.2,5.0,0
STU-24FA4356,10,8.6,5.2,0,2,5,Feeling great and motivated today,4.9,3.9,0
STU-24FA4356,11,6.7,4.5,0,2,4,Feeling balanced and in control,4.3,5.4,0
STU-24FA4356,12,7.4,5.9,0,1,4,Feeling confident about exams,4.3,4.5,0
STU-5BC9423A,1,9.0,3.9,0,3,6,Motivated to study and stay on track,3.7,4.0,0
STU-5BC9423A,2,9.0,4.8,0,3,4,Feeling great and motivated today,3.1,3.4,0
STU-5BC9423A,3,7.7,7.1,0,2,4,"Had a productive day, feeling accomplished",3.5,3.2,0
STU-5BC9423A,4,7.9,4.4,0,2,6,Feeling confident about exams,2.7,4.4,0
STU-5BC9423A,5,8.5,5.5,1,1,4,"Good energy, looking forward to classes",3.4,4.9,0
STU-5BC9423A,6,8.7,5.5,0,2,4,Feeling calm and focused,3.1,2.4,0
STU-5BC9423A,7,,3.8,0,2,3,Feeling great and motivated today,3.0,4.7,0
STU-5BC9423A,8,8.6,5.3,1,2,5,Feeling calm and focused,3.4,3.1,0
STU-5BC9423A,9,7.9,4.2,0,3,3,Feeling balanced and in control,3.3,3.2,0
STU-5BC9423A,10,8.1,4.4,0,2,5,"Had a productive day, feeling accomplished",2.7,3.8,0
STU-5BC9423A,11,7.4,4.7,1,1,7,"Had a productive day, feeling accomplished",3.0,2.0,0
STU-5BC9423A,12,,4.4,0,2,5,Motivated to study and stay on track,2.8,2.6,0
STU-F73F2B69,1,8.6,5.9,1,2,4,"Had a productive day, feeling accomplished",3.2,6.7,0
STU-F73F2B69,2,9.1,5.6,0,1,3,Enjoying the learning process,2.8,7.0,0
STU-F73F2B69,3,8.7,5.8,0,1,3,Excited about upcoming projects,3.5,7.1,0
STU-F73F2B69,4,6.9,5.5,0,1,3,Excited about upcoming projects,3.0,7.4,0
STU-F73F2B69,5,7.7,6.4,0,1,3,Motivated to study and stay on track,3.9,6.1,0
STU-F73F2B69,6,,5.3,1,1,3,Enjoying the learning process,3.0,7.1,0
STU-F73F2B69,7,8.5,5.8,1,2,4,Excited about upcoming projects,3.0,6.0,0
STU-F73F2B69,8,8.5,6.3,1,1,3,"Good energy, looking forward to classes",2.7,5.6,0
STU-F73F2B69,9,8.3,5.6,2,1,5,Enjoying the learning process,2.5,6.2,0
STU-F73F2B69,10,7.8,7.5,0,1,4,Feeling balanced and in control,3.8,7.7,0
STU-F73F2B69,11,7.7,5.4,0,1,4,Happy and well-rested,4.0,8.1,0
STU-F73F2B69,12,7.8,6.8,1,2,4,Feeling calm and focused,2.9,6.9,0
STU-FB007F54,1,7.8,3.5,0,1,4,Enjoying the learning process,4.1,4.1,0
STU-FB007F54,2,8.3,3.9,0,1,6,Feeling calm and focused,4.7,3.9,0
STU-FB007F54,3,8.0,4.6,0,1,5,"Good energy, looking forward to classes",5.4,3.1,0
STU-FB007F54,4,8.1,2.6,0,1,5,Happy and well-rested,5.7,3.3,0
STU-FB007F54,5,7.3,4.2,0,1,5,Feeling confident about exams,4.5,4.1,0
STU-FB007F54,6,8.5,2.1,1,3,4,Motivated to study and stay on track,3.9,2.9,0
STU-FB007F54,7,8.3,2.4,0,3,5,Enjoying the learning process,4.3,3.6,0
STU-FB007F54,8,7.8,3.5,0,2,3,Motivated to study and stay on track,4.1,3.6,0
STU-FB007F54,9,8.4,2.4,0,2,4,"Had a productive day, feeling accomplished",4.4,2.0,0
STU-FB007F54,10,8.1,4.3,0,1,4,Feeling calm and focused,4.9,4.3,0
STU-FB007F54,11,8.2,4.9,0,1,5,Feeling calm and focused,4.3,3.4,0
STU-FB007F54,12,7.6,3.5,0,1,4,"Had a productive day, feeling accomplished",4.3,3.4,0
STU-3B3C7956,1,4.9,8.7,3,6,1,Struggling to concentrate on anything,0.7,9.6,2
STU-3B3C7956,2,4.5,10.7,3,7,1,Feeling overwhelmed with assignments,1.4,10.2,2
STU-3B3C7956,3,5.1,11.6,2,7,2,Feeling anxious about everything,1.2,8.3,2
STU-3B3C7956,4,5.7,10.5,2,6,1,Dreading going to class,2.0,10.0,2
STU-3B3C7956,5,5.8,10.4,2,5,1,Exhausted and burned out from studying,2.2,10.3,1
STU-3B3C7956,6,6.5,13.0,3,6,0,Feeling anxious about everything,1.9,8.9,2
STU-3B3C7956,7,5.7,12.4,2,6,2,"Average day, going through the motions",1.6,8.8,2
STU-3B3C7956,8,4.9,11.7,2,6,3,"Feeling okay, nothing special",2.6,8.6,1
STU-3B3C7956,9,5.3,12.3,2,5,1,"Feeling okay, nothing special",2.2,9.0,1
STU-3B3C7956,10,7.6,13.3,1,5,2,Feeling confident about exams,2.7,8.4,1
STU-3B3C7956,11,6.0,11.3,1,5,2,"Had a productive day, feeling accomplished",2.7,7.9,1
STU-3B3C7956,12,7.2,13.4,2,4,3,Enjoying the learning process,2.7,7.2,1
STU-DE391380,1,7.6,3.7,1,5,4,"Routine day, nothing remarkable",2.3,8.1,0
STU-DE391380,2,7.1,6.4,2,3,4,"Neither good nor bad, just normal",2.1,6.8,0
STU-DE391380,3,6.5,6.0,1,5,3,"Routine day, nothing remarkable",2.0,6.7,1
STU-DE391380,4,5.3,4.1,2,5,3,"Routine day, nothing remarkable",2.0,8.0,1
STU-DE391380,5,4.8,3.7,2,6,5,Exhausted and burned out from studying,2.1,8.2,1
STU-DE391380,6,4.9,3.9,3,6,2,Happy and well-rested,1.9,8.1,1
STU-DE391380,7,4.7,3.5,3,6,3,Struggling to concentrate on anything,1.6,8.0,1
STU-DE391380,8,5.0,5.4,3,7,2,Feeling hopeless about my grades,0.7,8.7,2
STU-DE391380,9,4.1,3.3,4,9,1,Feeling hopeless about my grades,0.8,9.3,2
STU-DE391380,10,4.4,4.5,4,8,2,Constantly tired no matter how much I sleep,0.4,9.2,2
STU-DE391380,11,3.6,6.2,4,8,2,Feeling numb and disconnected,0.5,11.6,2
STU-DE391380,12,3.8,2.4,4,8,1,"Breaking down emotionally, can't handle it",0.5,9.9,2
STU-8FE3E958,1,7.4,2.3,1,4,2,"Had a productive day, feeling accomplished",3.6,5.1,0
STU-8FE3E958,2,7.0,3.5,1,4,3,Feeling confident about exams,3.0,7.1,0
STU-8FE3E958,3,6.5,3.3,1,5,2,Very stressed about deadlines,3.8,5.8,1
STU-8FE3E958,4,6.9,3.9,1,4,1,"Doing alright, could be better",3.3,8.2,0
STU-8FE3E958,5,4.9,5.3,1,6,2,"Neither good nor bad, just normal",2.8,8.0,1
STU-8FE3E958,6,4.8,3.9,2,6,2,Feeling indifferent about things,3.2,7.9,1
STU-8FE3E958,7,5.7,4.5,2,6,1,Constantly tired no matter how much I sleep,2.4,7.8,1
STU-8FE3E958,8,6.0,4.7,2,6,1,Exhausted and burned out from studying,2.2,8.0,1
STU-8FE3E958,9,5.7,4.9,2,5,0,Feeling numb and disconnected,2.3,7.9,1
STU-8FE3E958,10,5.5,3.5,3,7,1,Very stressed about deadlines,1.9,9.2,2
STU-8FE3E958,11,4.5,4.2,3,7,0,Constantly tired no matter how much I sleep,2.2,8.8,2
STU-8FE3E958,12,3.7,4.4,3,8,0,Lost all motivation to study,1.5,9.3,2
STU-B7D96831,1,6.0,6.4,3,6,3,Dreading going to class,3.1,7.9,1
STU-B7D96831,2,6.3,6.4,2,6,3,Enjoying the learning process,3.4,7.6,1
STU-B7D96831,3,6.1,6.8,1,8,4,Very stressed about deadlines,3.1,8.6,1
STU-B7D96831,4,6.2,5.5,2,6,3,Feeling numb and disconnected,3.4,6.4,1
STU-B7D96831,5,6.6,5.7,3,6,3,Things are manageable but not exciting,3.7,6.7,1
STU-B7D96831,6,5.2,4.6,2,5,3,"Doing alright, could be better",2.8,5.5,1
STU-B7D96831,7,4.8,7.6,3,7,3,Feeling overwhelmed with assignments,2.9,7.3,1
STU-B7D96831,8,5.3,6.2,3,5,5,Feeling great and motivated today,3.8,7.9,1
STU-B7D96831,9,5.8,7.4,3,7,3,Feeling isolated and lonely,3.4,4.9,1
STU-B7D96831,10,6.3,5.3,2,6,4,Lost all motivation to study,3.2,7.6,1
STU-B7D96831,11,5.6,6.4,3,7,3,Things are manageable but not exciting,2.3,6.1,1
STU-B7D96831,12,6.0,5.6,2,6,2,"Routine day, nothing remarkable",3.5,7.0,1
STU-EE130637,1,4.3,9.9,2,7,1,"Can't sleep well, too much anxiety",1.0,13.7,2
STU-EE130637,2,3.3,11.1,2,7,1,Exhausted and burned out from studying,0.6,15.2,2
STU-EE130637,3,4.3,10.7,3,7,2,Feeling isolated and lonely,1.2,15.0,2
STU-EE130637,4,5.2,11.3,2,6,0,Exhausted and burned out from studying,1.5,14.4,2
STU-EE130637,5,3.9,10.7,3,7,2,Feeling overwhelmed with assignments,0.4,14.7,2
STU-EE130637,6,5.3,10.7,2,8,1,Feeling anxious about everything,1.3,14.4,2
STU-EE130637,7,3.9,11.9,3,7,1,"Breaking down emotionally, can't handle it",1.3,14.5,2
STU-EE130637,8,5.3,12.5,2,7,1,Dreading going to class,1.2,14.0,2
STU-EE130637,9,4.6,12.5,2,6,1,Feeling overwhelmed with assignments,1.0,15.6,2
STU-EE130637,10,4.1,10.1,3,7,0,"Breaking down emotionally, can't handle it",1.9,14.0,2
STU-EE130637,11,3.7,11.4,4,7,1,Struggling to concentrate on anything,0.6,14.9,2
STU-EE130637,12,3.7,10.9,3,6,0,Feeling overwhelmed with assignments,1.9,13.9,2
STU-C7A5CE95,1,4.8,13.6,5,7,0,Feeling overwhelmed with assignments,2.5,12.6,2
STU-C7A5CE95,2,5.6,13.5,5,7,0,Feeling anxious about everything,1.0,13.0,2
STU-C7A5CE95,3,4.2,12.5,4,8,0,Constantly tired no matter how much I sleep,1.2,12.8,2
STU-C7A5CE95,4,5.8,12.7,4,6,1,Dreading going to class,1.9,13.3,2
STU-C7A5CE95,5,5.7,13.1,4,6,0,Feeling numb and disconnected,1.9,11.7,2
STU-C7A5CE95,6,5.6,13.7,4,6,0,Dreading going to class,1.5,13.6,2
STU-C7A5CE95,7,5.7,13.3,5,7,0,"Can't sleep well, too much anxiety",1.9,12.4,2
STU-C7A5CE95,8,5.3,13.0,4,6,0,Feeling overwhelmed with assignments,0.6,12.8,2
STU-C7A5CE95,9,5.1,13.1,5,7,0,Dreading going to class,1.3,12.5,2
STU-C7A5CE95,10,5.3,12.2,5,8,0,Very stressed about deadlines,1.6,13.6,2
STU-C7A5CE95,11,5.4,12.8,4,7,0,Feeling numb and disconnected,1.0,12.8,2
STU-C7A5CE95,12,6.5,13.0,5,7,0,"Can't sleep well, too much anxiety",1.1,12.3,2
STU-61DD7C17,1,6.8,6.5,2,3,2,"Had a productive day, feeling accomplished",2.0,9.1,0
STU-61DD7C17,2,7.9,5.7,2,4,2,"Doing alright, could be better",,7.0,0
STU-61DD7C17,3,7.1,6.2,1,4,2,"Doing alright, could be better",1.1,10.3,1
STU-61DD7C17,4,6.5,9.1,2,4,2,"Feeling okay, nothing special",1.4,9.4,1
STU-61DD7C17,5,,5.3,2,5,2,Things are manageable but not exciting,1.9,9.1,1
STU-61DD7C17,6,7.0,6.6,2,5,2,Just getting by day to day,1.4,9.8,1
STU-61DD7C17,7,6.8,5.7,3,7,1,Feeling isolated and lonely,0.6,10.0,2
STU-61DD7C17,8,6.6,7.6,3,6,0,Exhausted and burned out from studying,0.7,10.9,2
STU-61DD7C17,9,5.9,7.6,4,6,0,Too much pressure from all sides,0.3,10.1,2
STU-61DD7C17,10,6.6,7.2,4,8,0,"Breaking down emotionally, can't handle it",0.5,9.6,2
STU-61DD7C17,11,5.3,5.2,3,8,0,Struggling to concentrate on anything,0.3,11.4,2
STU-61DD7C17,12,5.2,5.7,4,6,1,Exhausted and burned out from studying,0.2,10.5,2
STU-DA63357F,1,7.4,4.3,0,3,5,"Good energy, looking forward to classes",2.6,4.3,0
STU-DA63357F,2,9.1,5.0,0,2,5,Happy and well-rested,3.1,5.2,0
STU-DA63357F,3,7.6,2.8,0,1,5,Excited about upcoming projects,3.2,5.8,0
STU-DA63357F,4,8.8,1.6,0,2,6,"Good energy, looking forward to classes",3.1,4.6,0
STU-DA63357F,5,8.2,4.4,0,2,5,Motivated to study and stay on track,2.7,5.6,0
STU-DA63357F,6,8.6,3.0,1,2,5,Feeling confident about exams,3.2,6.3,0
STU-DA63357F,7,8.0,1.9,0,3,5,"Had a productive day, feeling accomplished",3.2,5.8,0
STU-DA63357F,8,9.4,2.8,0,3,5,Feeling great and motivated today,3.0,4.6,0
STU-DA63357F,9,8.4,4.2,0,2,5,Motivated to study and stay on track,2.8,5.8,0
STU-DA63357F,10,6.8,4.3,0,3,6,Feeling balanced and in control,3.5,5.4,0
STU-DA63357F,11,8.2,4.1,1,5,6,Feeling balanced and in control,3.0,6.3,0
STU-DA63357F,12,,4.3,0,2,5,"Had a productive day, feeling accomplished",2.9,6.3,0
STU-1DA76B6F,1,4.6,9.2,6,10,0,Very stressed about deadlines,0.8,16.0,2
STU-1DA76B6F,2,5.5,9.2,5,9,0,Dreading going to class,1.4,13.8,2
STU-1DA76B6F,3,4.8,9.9,6,8,0,Exhausted and burned out from studying,1.3,13.2,2
STU-1DA76B6F,4,5.1,10.3,5,8,0,Dreading going to class,1.2,15.3,2
STU-1DA76B6F,5,5.2,11.1,5,8,0,Feeling isolated and lonely,0.8,13.6,2
STU-1DA76B6F,6,5.1,7.7,6,9,0,"Can't sleep well, too much anxiety",0.9,14.3,2
STU-1DA76B6F,7,5.4,10.5,5,9,0,Struggling to concentrate on anything,1.0,14.6,2
STU-1DA76B6F,8,4.3,7.0,6,8,0,Very stressed about deadlines,1.5,14.5,2
STU-1DA76B6F,9,4.7,8.2,5,9,0,Exhausted and burned out from studying,1.1,14.7,2
STU-1DA76B6F,10,5.1,8.9,6,8,0,Struggling to concentrate on anything,0.8,14.4,2
STU-1DA76B6F,11,5.1,7.5,6,10,0,Feeling isolated and lonely,1.1,15.1,2
STU-1DA76B6F,12,5.8,8.8,6,8,0,"Can't sleep well, too much anxiety",2.2,13.6,2
STU-5C3A17F1,1,7.3,5.4,3,2,4,Feeling indifferent about things,2.2,6.4,0
STU-5C3A17F1,2,7.1,5.2,2,5,5,"Feeling okay, nothing special",,6.7,1
STU-5C3A17F1,3,,6.9,2,4,3,Feeling indifferent about things,2.2,5.9,0
STU-5C3A17F1,4,5.9,6.5,2,5,4,Very stressed about deadlines,1.3,8.3,1
STU-5C3A17F1,5,6.5,4.7,3,5,4,"Can't sleep well, too much anxiety",1.3,6.4,1
STU-5C3A17F1,6,6.0,7.6,3,6,2,"Average day, going through the motions",1.2,8.5,1
STU-5C3A17F1,7,5.7,5.1,3,6,3,"Breaking down emotionally, can't handle it",,7.6,1
STU-5C3A17F1,8,6.1,5.5,3,8,1,Dreading going to class,1.5,8.1,2
STU-5C3A17F1,9,5.7,7.7,3,5,3,"Can't sleep well, too much anxiety",0.4,8.0,1
STU-5C3A17F1,10,5.9,4.7,3,7,3,Feeling isolated and lonely,0.5,8.1,2
STU-5C3A17F1,11,5.6,6.4,5,7,2,Feeling isolated and lonely,0.1,9.5,2
STU-5C3A17F1,12,4.4,7.8,4,8,1,Feeling anxious about everything,0.0,9.6,2
STU-70DDA008,1,3.7,11.2,6,4,1,Exhausted and burned out from studying,0.1,13.1,2
STU-70DDA008,2,3.4,11.8,6,5,0,"Breaking down emotionally, can't handle it",0.2,15.0,2
STU-70DDA008,3,4.0,9.7,6,6,0,Struggling to concentrate on anything,0.7,13.0,2
STU-70DDA008,4,3.2,11.5,7,6,0,Exhausted and burned out from studying,0.3,14.9,2
STU-70DDA008,5,3.3,9.8,6,7,0,Too much pressure from all sides,0.0,13.4,2
STU-70DDA008,6,3.1,9.9,7,8,0,Too much pressure from all sides,0.0,14.5,2
STU-70DDA008,7,4.3,8.4,6,9,0,Feeling numb and disconnected,,13.8,2
STU-70DDA008,8,4.1,11.6,6,6,0,Feeling isolated and lonely,0.0,16.0,2
STU-70DDA008,9,3.2,9.6,6,6,0,Dreading going to class,0.0,13.6,2
STU-70DDA008,10,3.8,10.7,5,5,0,Constantly tired no matter how much I sleep,0.0,14.3,2
STU-70DDA008,11,3.8,9.5,5,7,0,Feeling isolated and lonely,0.0,14.3,2
STU-70DDA008,12,3.8,10.4,6,7,0,Feeling numb and disconnected,0.3,15.4,2
STU-C11BF97B,1,6.8,8.3,1,5,5,Happy and well-rested,4.2,4.6,0
STU-C11BF97B,2,7.3,7.4,1,4,3,Feeling overwhelmed with assignments,2.9,7.3,0
STU-C11BF97B,3,6.3,6.6,0,4,3,Excited about upcoming projects,3.3,5.5,0
STU-C11BF97B,4,6.2,8.0,1,4,1,Feeling indifferent about things,3.2,6.3,1
STU-C11BF97B,5,6.6,7.0,1,5,3,Motivated to study and stay on track,3.3,6.9,1
STU-C11BF97B,6,7.3,7.0,1,4,3,Things are manageable but not exciting,2.9,6.7,0
STU-C11BF97B,7,6.0,7.1,1,5,4,"Average day, going through the motions",4.0,8.0,1
STU-C11BF97B,8,6.8,6.9,1,4,2,Excited about upcoming projects,3.5,5.8,0
STU-C11BF97B,9,7.1,5.0,1,6,2,Just getting by day to day,4.5,8.2,1
STU-C11BF97B,10,5.9,5.6,0,6,3,"Neither good nor bad, just normal",3.7,6.4,1
STU-C11BF97B,11,6.9,6.1,1,6,3,"Feeling okay, nothing special",3.0,7.9,1
STU-C11BF97B,12,6.5,7.3,1,5,1,"Feeling okay, nothing special",4.2,6.9,1
STU-B2E86E4A,1,7.3,4.8,2,4,4,Exhausted and burned out from studying,2.5,4.3,0
STU-B2E86E4A,2,6.5,2.3,2,5,4,"Average day, going through the motions",1.0,5.8,1
STU-B2E86E4A,3,6.8,5.6,2,6,3,Things are manageable but not exciting,1.4,6.8,1
STU-B2E86E4A,4,6.7,7.4,1,6,4,"Breaking down emotionally, can't handle it",1.4,4.1,1
STU-B2E86E4A,5,6.8,2.8,2,5,2,Feeling calm and focused,0.8,6.5,1
STU-B2E86E4A,6,,5.6,2,6,4,Lost all motivation to study,1.6,6.5,1
STU-B2E86E4A,7,7.3,2.2,2,7,2,Lost all motivation to study,1.1,7.4,1
STU-B2E86E4A,8,6.3,3.2,2,6,3,"Can't sleep well, too much anxiety",0.8,5.5,1
STU-B2E86E4A,9,5.5,2.1,3,7,2,Feeling hopeless about my grades,0.0,8.8,2
STU-B2E86E4A,10,5.2,5.7,4,7,2,Feeling overwhelmed with assignments,0.1,8.5,2
STU-B2E86E4A,11,6.3,3.6,3,9,3,"Can't sleep well, too much anxiety",0.1,7.3,2
STU-B2E86E4A,12,4.8,5.3,4,8,2,"Breaking down emotionally, can't handle it",0.6,7.8,2
STU-2F2EA7CB,1,7.2,4.9,2,4,1,Lost all motivation to study,2.8,7.8,1
STU-2F2EA7CB,2,6.2,3.1,2,5,1,Lost all motivation to study,3.9,8.9,1
STU-2F2EA7CB,3,7.8,5.9,1,5,2,"Doing alright, could be better",3.0,7.9,0
STU-2F2EA7CB,4,7.9,5.7,2,5,1,"Average day, going through the motions",3.0,8.9,1
STU-2F2EA7CB,5,7.1,5.3,2,4,1,"Feeling okay, nothing special",3.6,7.3,1
STU-2F2EA7CB,6,,5.6,2,4,3,Exhausted and burned out from studying,3.6,8.9,0
STU-2F2EA7CB,7,6.9,7.9,3,5,3,Motivated to study and stay on track,3.2,8.7,1
STU-2F2EA7CB,8,7.4,6.9,3,6,1,"Doing alright, could be better",3.1,8.0,1
STU-2F2EA7CB,9,7.3,7.3,3,5,2,"Doing alright, could be better",3.5,8.1,1
STU-2F2EA7CB,10,6.3,5.2,2,4,1,Feeling indifferent about things,3.4,8.0,1
STU-2F2EA7CB,11,7.1,5.3,3,5,1,Lost all motivation to study,3.3,8.9,1
STU-2F2EA7CB,12,6.3,4.4,2,5,1,Things are manageable but not exciting,2.7,8.7,1
STU-0DBD7513,1,7.2,5.8,2,3,3,Just getting by day to day,4.1,7.8,0
STU-0DBD7513,2,7.9,5.0,2,4,4,Very stressed about deadlines,4.7,7.2,0
STU-0DBD7513,3,7.4,7.2,2,6,3,Feeling isolated and lonely,3.7,6.6,1
